year,record,age,grade,consideration,plan,attempt
2001,466007,16,11,no,no,yes
2001,466009,16,9,yes,yes,yes
2001,466010,16,10,no,no,yes
2001,466011,16,10,no,no,yes
2001,466012,16,10,yes,yes,yes
2001,466013,16,10,no,no,yes
2001,466014,16,11,yes,yes,yes
2001,466015,16,10,no,no,yes
2001,466016,16,10,no,yes,no
2001,466017,16,10,no,no,yes
2001,466018,16,10,yes,yes,yes
2001,466019,16,10,no,no,yes
2001,466020,16,11,no,no,yes
2001,466021,16,10,no,no,yes
2001,466022,16,10,no,no,yes
2001,466025,16,11,no,no,yes
2001,466026,16,10,no,no,yes
2001,466027,16,11,yes,yes,no
2001,466028,16,10,no,no,yes
2001,466029,16,10,no,no,yes
2001,466030,16,10,no,yes,yes
2001,466031,16,10,no,no,yes
2001,466032,16,10,no,no,yes
2001,466033,16,11,no,no,yes
2001,466034,16,9,yes,yes,no
2001,466035,16,10,no,no,yes
2001,466036,16,10,no,no,yes
2001,466037,16,10,no,no,yes
2001,466040,16,10,no,no,yes
2001,466041,16,10,no,no,yes
2001,466042,16,11,no,no,yes
2001,466044,16,10,no,no,yes
2001,466045,16,10,no,no,yes
2001,466046,16,10,no,no,yes
2001,466047,16,10,no,no,yes
2001,466048,16,10,no,no,yes
2001,466049,16,10,no,no,yes
2001,466050,16,11,no,no,yes
2001,466051,16,10,no,no,yes
2001,466052,16,10,no,no,yes
2001,466053,16,12,yes,yes,no
2001,466054,16,10,no,no,yes
2001,466055,16,9,no,no,yes
2001,466056,16,10,no,no,yes
2001,466057,16,10,no,no,yes
2001,466058,16,10,no,yes,no
2001,466060,16,10,no,no,yes
2001,466061,16,10,no,no,yes
2001,466062,16,11,yes,yes,yes
2001,466063,16,10,no,no,yes
2001,466064,16,11,no,no,yes
2001,466065,16,10,no,no,yes
2001,466068,16,11,no,no,no
2001,466069,16,10,no,no,yes
2001,466070,16,11,no,no,yes
2001,466071,16,11,no,no,yes
2001,466072,16,11,no,no,yes
2001,466074,16,10,no,no,yes
2001,466075,16,10,no,no,yes
2001,466076,16,10,no,no,yes
2001,466077,16,10,no,no,yes
2001,466078,16,10,no,no,yes
2001,466079,16,9,no,yes,yes
2001,466081,16,10,no,no,yes
2001,466082,16,9,no,no,yes
2001,466086,16,10,yes,yes,yes
2001,466087,16,10,no,no,yes
2001,466090,16,11,no,no,yes
2001,466092,16,11,no,no,yes
2001,466093,16,11,no,no,yes
2001,466094,16,11,no,no,yes
2001,466095,16,10,no,no,yes
2001,466098,16,10,no,no,yes
2001,466099,16,10,no,no,yes
2001,466100,16,10,no,no,yes
2001,466101,16,10,no,no,yes
2001,466102,16,10,no,no,yes
2001,466103,16,10,no,no,yes
2001,466104,16,10,no,no,yes
2001,466105,16,10,no,no,yes
2001,466106,16,10,no,no,yes
2001,466110,16,10,no,no,yes
2001,466111,16,9,no,no,yes
2001,466112,16,11,no,no,yes
2001,466114,16,10,no,no,yes
2001,466115,16,11,no,no,yes
2001,466116,16,11,no,no,yes
2001,466117,16,10,no,no,yes
2001,466118,16,10,no,no,yes
2001,466119,16,10,no,no,yes
2001,466121,16,9,no,no,yes
2001,466122,16,11,no,no,yes
